,PSK
symbol,PSK
price,36.82
beta,0
volAvg,245772
mktCap,0
lastDiv,2.3400000000000003
range,32.02-41.23
changes,0.07
companyName,SPDR ICE Preferred Securities ETF
currency,USD
cik,
isin,US78464A2924
cusip,78464A292
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the index, the adviser employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to measure the performance of non-convertible preferred stock and securities that are functionally equivalent to preferred stock, including, but not limited to, senior and subordinated debt."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PSK.png
ipoDate,2009-09-16
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
