,QQQM
symbol,QQQM
price,121.22
beta,0
volAvg,961404
mktCap,0
lastDiv,0.9139999999999999
range,104.62-152.92
changes,1.83
companyName,Invesco NASDAQ 100 ETF
currency,USD
cik,
isin,US46138G6492
cusip,46138G649
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, Nasdaq, Inc. (“Nasdaq” or the “index provider”) compiles, maintains and calculates the underlying index, which includes securities of 100 of the largest domestic and international nonfinancial companies listed on The Nasdaq Stock Market LLC based on market capitalization. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/QQQM.png
ipoDate,2020-10-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
