,ROKT
symbol,ROKT
price,42.16
beta,0
volAvg,1390
mktCap,0
lastDiv,0.21200000000000002
range,33.13-42.16
changes,0.71
companyName,SPDR Kensho Final Frontiers ETF
currency,USD
cik,
isin,US78468R6302
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to capture companies whose products and services are driving innovation behind the exploration of deep space and deep sea. The fund may invest in equity securities that are not included in the index, cash and cash equivalents or money market instruments. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ROKT.png
ipoDate,2018-10-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
