,RPF.TO
symbol,RPF.TO
price,19.5
beta,0
volAvg,19379
mktCap,0
lastDiv,1.0479999999999998
range,18.08-23.87
changes,0.02
companyName,RBC Canadian Preferred Share ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RPF.TO.png
ipoDate,2016-09-21
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
