,RPV
symbol,RPV
price,87.04
beta,0
volAvg,507318
mktCap,0
lastDiv,1.784
range,69.47-88.97
changes,1.85
companyName,Invesco S&P 500 Pure Value ETF
currency,USD
cik,
isin,US46137V2584
cusip,46137V258
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of a subset of securities from the S&P 500® Index that exhibit strong value characteristics.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RPV.png
ipoDate,2006-03-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
