,RWO
symbol,RWO
price,44.75
beta,0
volAvg,193957
mktCap,0
lastDiv,1.509
range,36.48-55.37
changes,0.52
companyName,SPDR Dow Jones Global Real Estate ETF
currency,USD
cik,
isin,US78463X7497
cusip,78463X749
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is a float-adjusted market capitalization index designed to measure the performance of publicly traded global real estate securities."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RWO.png
ipoDate,2008-05-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
