,SCC
symbol,SCC
price,22.52
beta,0
volAvg,6908
mktCap,0
lastDiv,0.076
range,18.82-34.31
changes,-0.7661
companyName,ProShares UltraShort Consumer Services
currency,USD
cik,
isin,US74347G8125
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is designed to measure the stock performance of U.S. companies in the consumer services industry. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SCC.png
ipoDate,2007-01-30
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
