,SCHV
symbol,SCHV
price,68.73
beta,0
volAvg,484073
mktCap,0
lastDiv,1.5680000000000003
range,58.0-72.88
changes,0.92
companyName,Schwab U.S. Large-Cap Value ETF
currency,USD
cik,
isin,US8085244098
cusip,808524409
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"To pursue its goal, the fund generally invests in stocks that are included in the Dow Jones U.S. Large-Cap Value Total Stock Market Index. The index includes the large-cap value portion of the Dow Jones U.S. Total Stock Market Index actually available to investors in the marketplace. The Dow Jones U.S. Large-Cap Value Total Stock Market Index includes the components ranked 1-750 by full market capitalization and that are classified as ""value"" based on a number of factors."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SCHV.png
ipoDate,2009-12-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
