,SCO
symbol,SCO
price,23.98
beta,0
volAvg,2107481
mktCap,0
lastDiv,0
range,17.89-49.8
changes,-0.87
companyName,ProShares UltraShort Bloomberg Crude Oil
currency,USD
cik,0001415311
isin,US809323AK42
cusip,74347Y797
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to meet its investment objective by investing, under normal market conditions, in any one of, or combinations of, Financial Instruments (including swap agreements, futures contracts, forward contracts, and option contracts) based on WTI sweet, light crude oil. It will not invest directly in oil."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SCO.png
ipoDate,2008-11-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
