,SDVY
symbol,SDVY
price,28.94
beta,0
volAvg,255419
mktCap,0
lastDiv,0.595
range,22.77-29.67
changes,0.75
companyName,First Trust SMID Cap Rising Dividend Achievers ETF
currency,USD
cik,
isin,US33741X1028
cusip,33741X102
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks that comprise the index. The index is designed to provide access to a diversified portfolio of 100 small and mid cap companies with a history of raising their dividends and exhibit the characteristics to continue to do so in the future.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SDVY.png
ipoDate,2017-11-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
