,SKF
symbol,SKF
price,16.6
beta,0
volAvg,53903
mktCap,0
lastDiv,0.007
range,15.71-26.32
changes,-0.49
companyName,ProShares UltraShort Financials
currency,USD
cik,
isin,US74347B7486
cusip,74347B748
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is designed to measure the stock performance of U.S. companies in the financials industry. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SKF.png
ipoDate,2007-01-30
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
