,SKOR
symbol,SKOR
price,47.78
beta,0
volAvg,36037
mktCap,0
lastDiv,1.0649999999999997
range,44.75-51.815
changes,0.26
companyName,FlexShares Credit-Scored US Corporate Bond Index Fund
currency,USD
cik,
isin,US33939L7617
cusip,33939L761
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The underlying index reflects the performance of a broad universe of intermediate maturity, US-dollar denominated investment grade corporate bonds that can potentially deliver a higher total return than the overall investment grade corporate bond market, as represented by the Northern Trust US Investment Grade Corporate Bond Index SM. The fund generally will invest at least 80% of its total assets in the securities of its index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SKOR.png
ipoDate,2014-11-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
