,SOJC
symbol,SOJC
price,24.61
beta,0.091921
volAvg,34932
mktCap,24597055238
lastDiv,1.305
range,20.33-25.93
changes,0.24
companyName,The Southern Company JR 2017B NT 77
currency,USD
cik,0000092122
isin,
cusip,842587404
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SOJC.png
ipoDate,2017-11-28
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
