,SOXL
symbol,SOXL
price,14.52
beta,0
volAvg,106038590
mktCap,0
lastDiv,0.10400000000000001
range,6.21-52.21
changes,0.72
companyName,Direxion Daily Semiconductor Bull 3X Shares
currency,USD
cik,0001424958
isin,US25459W4583
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is a rules-based, modified float-adjusted market capitalization-weighted index that tracks the performance of the thirty largest U.S. listed semiconductor companies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SOXL.png
ipoDate,2010-03-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
