,SPHQ
symbol,SPHQ
price,46.12
beta,0
volAvg,705680
mktCap,0
lastDiv,0.8160000000000001
range,39.18-52.4
changes,0.55
companyName,Invesco S&P 500 Quality ETF
currency,USD
cik,
isin,US46137V2410
cusip,46137V241
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. In selecting constituent securities for the underlying index, the index provider calculates the quality score of each security in the S&P 500® Index, then selects the 100 stocks with the highest quality score for inclusion in the underlying index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPHQ.png
ipoDate,2005-12-06
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
