,SPHY
symbol,SPHY
price,23.17
beta,0
volAvg,378972
mktCap,0
lastDiv,1.3050000000000002
range,21.45-25.94
changes,0.15
companyName,SPDR Portfolio High Yield Bond ETF
currency,USD
cik,
isin,US78468R6062
cusip,78468R606
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of U.S. dollar denominated below investment grade corporate debt publicly issued in the U.S. domestic market."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPHY.png
ipoDate,2012-06-18
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
