,SPIB
symbol,SPIB
price,32.71
beta,0
volAvg,6592678
mktCap,0
lastDiv,0.7530000000000002
range,30.69-35.53
changes,0.17
companyName,SPDR Portfolio Intermediate Term Corporate Bond ETF
currency,USD
cik,
isin,US78464A3757
cusip,78464A375
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of U.S. corporate bonds that have a maturity of greater than or equal to 1 year and less than 10 years."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPIB.png
ipoDate,2009-02-10
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
