,SPMB
symbol,SPMB
price,22.45
beta,0
volAvg,1269277
mktCap,0
lastDiv,0.5890000000000001
range,20.61-24.95
changes,0.09
companyName,SPDR Portfolio Mortgage Backed Bond ETF
currency,USD
cik,
isin,US78464A3831
cusip,78464A383
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of the U.S. agency mortgage pass-through segment of the U.S. investment grade bond market."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPMB.png
ipoDate,2009-01-15
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
