,SPSK
symbol,SPSK
price,17.9
beta,0
volAvg,40539
mktCap,0
lastDiv,0.3840000000000001
range,16.725-19.4
changes,0.03
companyName,SP Funds Dow Jones Global Sukuk ETF
currency,USD
cik,
isin,US8863647025
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index includes U.S. dollar-denominated investment-grade sukuk, which are financial certificates, similar to bonds, issued in the global markets and structured to comply with Islamic religious law commonly known as Sharia and its investment principles. The manager attempts to invest all, or substantially all, of its assets in the component securities that make up the index. Under normal circumstances, at least 80% of the fund's total assets will be invested in the component securities of the index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPSK.png
ipoDate,2019-12-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
