,SUB
symbol,SUB
price,104.97
beta,0
volAvg,1302203
mktCap,0
lastDiv,0.9750000000000002
range,102.45-106.27
changes,0.07
companyName,iShares Short-Term National Muni Bond ETF
currency,USD
cik,
isin,US4642881589
cusip,464288158
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that the advisor believes will help the fund track the underlying index. The underlying index includes municipal bonds, the interest of which is exempt from Federal income taxes and not subject to alternative minimum tax."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SUB.png
ipoDate,2008-11-05
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
