,TECS
symbol,TECS
price,30.72
beta,0
volAvg,2022736
mktCap,0
lastDiv,0.13
range,28.11-62.87
changes,-1.32
companyName,Direxion Daily Technology Bear 3X Shares
currency,USD
cik,0001424958
isin,US25460G8722
cusip,25460E562
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse (opposite) or short leveraged exposure to the index equal to at least 80% of the fund's net assets (plus borrowing for investment purposes). The index is provided by S&P Dow Jones Indices (the ""index provider"") and includes domestic companies from the technology sector. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TECS.png
ipoDate,2008-12-17
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
