,TIPD
symbol,TIPD
price,26.49
beta,0
volAvg,785
mktCap,0
lastDiv,0
range,24.789-30.638
changes,0.045
companyName,Direxion Daily TIPS Bear 2X Shares
currency,USD
cik,0001424958
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,
ceo,
sector,
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TIPD.png
ipoDate,2022-04-07
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
