,TMV
symbol,TMV
price,108.36
beta,0
volAvg,420798
mktCap,0
lastDiv,0.2
range,58.66-183.13
changes,-2.81
companyName,Direxion Daily 20+ Year Treasury Bear 3X Shares
currency,USD
cik,0001424958
isin,US25460G8490
cusip,25459Y678
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse (opposite) or short leveraged exposure to the index equal to at least 80% of the fund's net assets (plus borrowing for investment purposes). The index is a market value weighted index that includes publicly issued U.S. Treasury securities that have a remaining maturity of greater than 20 years. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TMV.png
ipoDate,2009-04-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
