,TOLZ
symbol,TOLZ
price,46.93
beta,0
volAvg,54573
mktCap,0
lastDiv,1.335
range,38.79-51.58
changes,0.41
companyName,ProShares DJ Brookfield Global Infrastructure ETF
currency,USD
cik,
isin,US74347B5084
cusip,74347B508
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index consists of companies domiciled globally that qualify as ""pure-play"" infrastructure companies-companies whose primary business is the ownership and operation of infrastructure assets, activities that generally generate long-term stable cash flows. Under normal circumstances, the fund will invest at least 80% of its total assets in component securities. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TOLZ.png
ipoDate,2014-03-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
