,TPU.TO
symbol,TPU.TO
price,30.35
beta,0
volAvg,15424
mktCap,0
lastDiv,0.39000000000000007
range,26.42-33.02
changes,0.27
companyName,TD U.S. Equity Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TPU.TO.png
ipoDate,2016-03-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
