,TTT
symbol,TTT
price,61.74
beta,0
volAvg,152685
mktCap,0
lastDiv,0.263
range,33.19-104.2
changes,-1.04
companyName,ProShares UltraPro Short 20+ Year Treasury
currency,USD
cik,
isin,US74347G8877
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index includes publicly-issued U.S. Treasury securities that have a remaining maturity greater than or equal to twenty years and have $300 million or more of outstanding face value, excluding amounts held by the Federal Reserve. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TTT.png
ipoDate,2012-03-27
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
