,UGL
symbol,UGL
price,61.41
beta,0
volAvg,103954
mktCap,0
lastDiv,0
range,44.09-76.19
changes,0.42
companyName,ProShares Ultra Gold
currency,USD
cik,0001415311
isin,US74347W6012
cusip,74347W601
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to meet its investment objective by investing, under normal market conditions, in any one of, or combinations of, Financial Instruments (including swap agreements, futures contracts, forward contracts and option contracts) based on the benchmark. The types and mix of Financial Instruments in which the fund invest may vary daily at the discretion of the Sponsor. It will not invest directly in any commodity."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UGL.png
ipoDate,2008-12-03
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
