,ULTR
symbol,ULTR
price,47.79
beta,0
volAvg,10111
mktCap,0
lastDiv,0.995
range,47.04-48.8
changes,0.06
companyName,IQ Ultra Short Duration ETF
currency,USD
cik,
isin,US45409F8196
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests at least 80% of its net assets in fixed income securities. It typically invests at least 80% of its assets in fixed income securities rated BBB- or A-2 or higher by S&P Global Ratings (""S&P""), BBB- or F-2 or higher by Fitch Ratings, Inc. (""Fitch""), or Baa3 or Prime-2 or higher by Moody's Investors Service, Inc. (""Moody's""), or, if unrated, determined by the fund's management to be of equivalent quality."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ULTR.png
ipoDate,2019-07-31
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
