,UMDD
symbol,UMDD
price,22.58
beta,0
volAvg,22445
mktCap,0
lastDiv,0.086
range,13.6-31.61
changes,1.54
companyName,ProShares UltraPro MidCap400
currency,USD
cik,
isin,US74347X8157
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a measure of mid-size company U.S. stock market performance. It is a float-adjusted, market capitalization-weighted index of 400 U.S. operating companies and real estate investment trusts selected through a process. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UMDD.png
ipoDate,2010-02-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
