,UNMA
symbol,UNMA
price,25.13
beta,0
volAvg,16980
mktCap,5681943335
lastDiv,1.564
range,21.85-26.91
changes,0.09
companyName,Unum Group 6.250% JR NT58
currency,USD
cik,0000005513
isin,US91529Y6014
cusip,91529Y601
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,Industrials
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,0.391279
dcf,24.5287
image,https://financialmodelingprep.com/image-stock/UNMA.png
ipoDate,2018-06-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
