,UPRO
symbol,UPRO
price,38.71
beta,0
volAvg,12337632
mktCap,0
lastDiv,0.171
range,25.94-68.16
changes,1.6
companyName,ProShares UltraPro S&P500
currency,USD
cik,
isin,US74347X8645
cusip,74347X864
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a measure of large-cap U.S. stock market performance. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UPRO.png
ipoDate,2009-06-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
