,URE
symbol,URE
price,69.43
beta,0
volAvg,2954
mktCap,0
lastDiv,0.7270000000000001
range,47.66-108.44
changes,2.57
companyName,ProShares Ultra Real Estate
currency,USD
cik,
isin,US74347X6250
cusip,74347X625
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that the advisors believe, in combination, should produce daily returns consistent with the fund's investment objective. The index is designed to track the performance of REITs and other companies that invest directly or indirectly in real estate through development, management, or ownership, including property agencies. Component companies include, among others, real estate holding and development and real estate services companies and REITs. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/URE.png
ipoDate,2007-01-30
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
