,URTH
symbol,URTH
price,117.01
beta,0
volAvg,390209
mktCap,807369000
lastDiv,1.8359999999999999
range,97.44-131.2
changes,1.38
companyName,iShares MSCI World ETF
currency,USD
cik,
isin,US4642863926
cusip,464286392
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the performance of equity securities in the large and mid-capitalization segments of developed market countries.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/URTH.png
ipoDate,2012-01-10
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
