,USOI
symbol,USOI
price,83.46
beta,0
volAvg,59340
mktCap,0
lastDiv,10.768100000000002
range,75.8-118.0
changes,0.9
companyName,Credit Suisse X-Links Crude Oil Shares Covered Call ETNs
currency,USD
cik,0001053092
isin,US22539T2666
cusip,22539T266
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,
ceo,
sector,
country,US
fullTimeEmployees,
phone,800-320-1225
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/USOI.png
ipoDate,2017-04-26
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
