,USSG
symbol,USSG
price,37.1
beta,0
volAvg,105216
mktCap,0
lastDiv,0.531
range,31.56-42.6
changes,0.54
companyName,Xtrackers MSCI USA ESG Leaders Equity ETF
currency,USD
cik,0001503123
isin,US2330511500
cusip,233051150
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index consists of large- and medium-capitalization companies in the U.S. market. The fund invests directly in the component securities of the index in substantially the same weightings in which they are represented in the index. It will normally invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in equity securities of issuers incorporated in the United States."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/USSG.png
ipoDate,2019-03-07
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
