,UUP
symbol,UUP
price,27.51
beta,0
volAvg,4039977
mktCap,0
lastDiv,0.247
range,25.48-30.76
changes,-0.06
companyName,Invesco DB US Dollar Index Bullish Fund
currency,USD
cik,0001383151
isin,US46141D2036
cusip,46141D203
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in futures contracts in an attempt to track its index. The index is calculated to reflect the changes in market value over time, whether positive or negative, of long positions in DX Contracts."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,1.59
dcf,29.06
image,https://financialmodelingprep.com/image-stock/UUP.png
ipoDate,2007-02-20
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
