,UVIX
symbol,UVIX
price,18.38
beta,0
volAvg,1565508
mktCap,0
lastDiv,0
range,17.56-136.05
changes,-0.79
companyName,2x Long VIX Futures ETF
currency,USD
cik,0001793497
isin,
cusip,92891H309
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The index measures the daily performance of a portfolio of long positions in first and second month VIX futures contracts. This theoretical portfolio is rolled each day to maintain a consistent time to maturity of the futures contracts. The index is calculated daily at 4:00 p.m. (Eastern time) and at a value calculated from the average price for the futures contracts between 3:45 p.m. (Eastern time) and 4:00 p.m. (Eastern time).
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UVIX.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
