,VALT
symbol,VALT
price,48.53
beta,0
volAvg,1459
mktCap,0
lastDiv,0.7480000000000001
range,47.64-49.48
changes,0.04
companyName,ETFMG Sit Ultra Short ETF
currency,USD
cik,
isin,US26924G7896
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is an actively managed exchange-traded fund (""ETF"") that seeks to achieve its investment objective by investing in a diversified portfolio of high-quality short-term U.S. dollar denominated domestic and foreign debt securities and other instruments. It will, under normal circumstances, invest primarily in fixed-income securities. The fund invests in investment grade domestic debt obligations."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VALT.png
ipoDate,2019-10-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
