,VNQ
symbol,VNQ
price,91.06
beta,0
volAvg,5303370
mktCap,33708681405
lastDiv,3.227
range,74.66-113.41
changes,1.87
companyName,Vanguard Real Estate Index Fund
currency,USD
cik,
isin,US9229085538
cusip,922908553
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The advisor attempts to track the index by investing all, or substantially all, of its assets-either directly or indirectly through a wholly owned subsidiary, which is itself a registered investment company-in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VNQ.png
ipoDate,2004-09-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
