,WBAT
symbol,WBAT
price,37.18
beta,0
volAvg,1485
mktCap,0
lastDiv,0.147
range,30.56-41.75
changes,0.52
companyName,WisdomTree Battery Value Chain and Innovation Fund
currency,USD
cik,
isin,
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The adviser employs a “passive management” investment approach designed to track the performance of the index. The index is designed to provide exposure to equity securities of exchange-listed companies globally, which are primarily involved in the investment themes of Battery and Energy Storage Solutions (“BESS”) and Innovation. The fund will concentrate its investments to approximately the same extent as the index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/WBAT.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
