,WEED
symbol,WEED
price,5.51
beta,0
volAvg,11321
mktCap,0
lastDiv,0
range,5.05-15.5
changes,0.2294
companyName,Roundhill Cannabis ETF
currency,USD
cik,
isin,
cusip,138035100
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund is an actively managed ETF that seeks to achieve its investment objective by investing primarily in exchange-listed equity securities and total return swaps intended to provide exposure to the cannabis and hemp ecosystem. Under normal circumstances, at least 80% of the fund’s net assets will be invested in equity securities, including common stock and depositary receipts, of companies and REITs that derive at least 50% of their net revenue from, or invest a majority of their assets in, the cannabis and hemp ecosystem (“Cannabis Companies”). It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/WEED.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
