,WTAI
symbol,WTAI
price,16.53
beta,0
volAvg,1218
mktCap,0
lastDiv,0.031
range,13.49-22.5
changes,0.3
companyName,WisdomTree Artificial Intelligence and Innovation Fund
currency,USD
cik,
isin,
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The index is designed to provide exposure to equity securities of exchange-listed companies globally, including developed countries and emerging markets throughout the world, which are primarily involved in the investment theme of Artificial Intelligence and Innovation. To the extent the index concentrates in the securities of a particular industry or group of industries, the fund will concentrate its investments to approximately the same extent as the index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/WTAI.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
