,WWJD
symbol,WWJD
price,28.08
beta,0
volAvg,21342
mktCap,0
lastDiv,0.545
range,21.555-33.11
changes,0.06
companyName,Inspire International ESG ETF
currency,USD
cik,
isin,US66538H4193
cusip,66538H419
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally invests at least 80% of its total assets in the component securities of the Inspire Global Hope ex-US Index. The index provider selects foreign (including emerging markets) equity securities from a global universe of publicly traded equity securities of foreign and emerging market companies with a market capitalization of $5 billion (U.S. Dollars) or greater and which have an Inspire Impact Score® of zero or higher.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/WWJD.png
ipoDate,2019-09-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
