,XDG.TO
symbol,XDG.TO
price,23.16
beta,0
volAvg,5043
mktCap,0
lastDiv,0.76
range,20.44-23.99
changes,0.1
companyName,iShares Core MSCI Global Quality Dividend Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XDG.TO.png
ipoDate,2017-06-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
