,XEM.TO
symbol,XEM.TO
price,30.48
beta,0
volAvg,7269
mktCap,0
lastDiv,0.595
range,25.69-35.11
changes,-0.24
companyName,iShares MSCI Emerging Markets Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XEM.TO.png
ipoDate,2009-10-29
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
