,XITK
symbol,XITK
price,116.2
beta,0
volAvg,6377
mktCap,0
lastDiv,0.112
range,90.055-173.483
changes,2.5891
companyName,SPDR FactSet Innovative Technology ETF
currency,USD
cik,
isin,US78464A1108
cusip,78464A110
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index is designed to represent the performance of U.S.-listed stock and American Depository Receipts of Technology companies and Technology-related companies within the most innovative segments of the Technology sector and Electronic Media sub-sector of the Media sector, as defined by FactSet Research Systems, Inc. The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XITK.png
ipoDate,2016-01-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
