,XIU.TO
symbol,XIU.TO
price,31.78
beta,0
volAvg,2693795
mktCap,11199272127
lastDiv,0.8949999999999999
range,27.37-34.0
changes,0.32
companyName,iShares S&P/TSX 60 Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XIU.TO.png
ipoDate,1999-10-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
