,XLP
symbol,XLP
price,73.74
beta,0
volAvg,9827865
mktCap,15498083206
lastDiv,1.842
range,66.18-81.34
changes,0.79
companyName,Consumer Staples Select Sector SPDR Fund
currency,USD
cik,
isin,US81369Y3080
cusip,81369Y308
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Consumer Staples companies by the GICS®. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XLP.png
ipoDate,1998-12-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
