,XLY
symbol,XLY
price,148.7
beta,0
volAvg,4806904
mktCap,17881622141
lastDiv,1.2890000000000001
range,126.0-192.19
changes,3.33
companyName,Consumer Discretionary Select Sector SPDR Fund
currency,USD
cik,
isin,US81369Y4070
cusip,81369Y407
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The Advisor employs a replication strategy. The fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: retail; hotels, restaurants and leisure; textiles, apparel and luxury goods; household durables; automobiles; auto components; distributors; leisure products; and diversified consumer services. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XLY.png
ipoDate,1998-12-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
