,XMHQ
symbol,XMHQ
price,75.24
beta,0
volAvg,41360
mktCap,0
lastDiv,1.187
range,61.49-79.5
changes,1.73
companyName,Invesco S&P MidCap Quality ETF
currency,USD
cik,
isin,US46137V4721
cusip,46137V472
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, the index provider first calculates the quality score of each security in the S&P MidCap 400® Index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XMHQ.png
ipoDate,2006-12-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
