,XPP
symbol,XPP
price,26.88
beta,0
volAvg,35663
mktCap,0
lastDiv,0.149
range,11.82-48.27
changes,-0.31
companyName,ProShares Ultra FTSE China 50
currency,USD
cik,
isin,US74347X8801
cusip,74347X880
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index consists of 50 of the largest and most liquid Chinese stocks listed and traded on the Stock Exchange of Hong Kong. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XPP.png
ipoDate,2009-06-04
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
