,XQB.TO
symbol,XQB.TO
price,18.73
beta,0
volAvg,21824
mktCap,0
lastDiv,0.5059999999999999
range,17.67-20.4
changes,-0.01
companyName,iShares High Quality Canadian Bond Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XQB.TO.png
ipoDate,2010-04-20
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
