,XSH.TO
symbol,XSH.TO
price,18.12
beta,0
volAvg,51138
mktCap,0
lastDiv,0.5349999999999999
range,17.39-19.03
changes,0.01
companyName,iShares Core Canadian Short Term Corporate Bond Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XSH.TO.png
ipoDate,2011-09-21
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
