,XSW
symbol,XSW
price,121.76
beta,0
volAvg,15270
mktCap,0
lastDiv,0.09600000000000002
range,100.83-154.72
changes,2.1973
companyName,SPDR S&P Software & Services ETF
currency,USD
cik,
isin,US78464A5992
cusip,78464A599
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the S&P Software & Services Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the software and services segment of the S&P Total Market Index (""S&P TMI"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XSW.png
ipoDate,2011-09-28
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
