,XTN
symbol,XTN
price,77.32
beta,0
volAvg,85775
mktCap,0
lastDiv,0.699
range,63.47-91.79
changes,2.4
companyName,SPDR S&P Transportation ETF
currency,USD
cik,
isin,US78464A5323
cusip,78464A532
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the S&P Transportation Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the transportation segment of the S&P Total Market Index (""S&P TMI"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XTN.png
ipoDate,2011-01-26
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
