,ZPR.TO
symbol,ZPR.TO
price,9.54
beta,0
volAvg,249737
mktCap,0
lastDiv,0.5399999999999999
range,8.88-11.62
changes,-0.02
companyName,BMO Laddered Preferred Share Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZPR.TO.png
ipoDate,2012-11-26
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
