,ZWP.TO
symbol,ZWP.TO
price,16.96
beta,0
volAvg,9246
mktCap,0
lastDiv,1.15
range,13.52-17.61
changes,0.02
companyName,BMO Europe High Dividend Covered Call ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZWP.TO.png
ipoDate,2018-03-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
